"","country","d","mean_ratio","mean_RMSE","rf"
"545","Haiti",10,0.817019826627877,11788.3902155824,1.22396050549635
"546","Haiti",11,0.799473975197342,11801.080533156,1.25082245454351
"547","Haiti",12,0.785486434219848,11775.2837357405,1.27309646154896
"548","Haiti",13,0.774734924126466,11800.1331219494,1.29076406504783
"549","Haiti",14,0.772738830152085,11800.1331219494,1.29409829166109
"550","Haiti",15,1,11825.3210644546,1
"551","Haiti",16,1,11754.8167166077,1
"552","Haiti",17,1,11825.3210644546,1
"553","Haiti",18,1,11776.8493253099,1
"554","Haiti",19,1,11776.8493253099,1
"555","Haiti",20,1,11774.146609491,1
"556","Haiti",21,1,11776.8493253099,1
"557","Haiti",22,1,11805.8576543369,1
"558","Haiti",23,1,11712.7370748478,1
"559","Haiti",24,1,11825.3210644546,1
"560","Haiti",25,1,11825.3210644546,1
"561","Haiti",26,1,11710.1785407864,1
"562","Honduras",0,0.740104011182191,11806.1306438432,1.35116143797501
"563","Honduras",1,0.806031787949268,11809.4393370521,1.24064585907242
"564","Honduras",2,0.851339304326427,11793.1542102812,1.17461979602973
"565","Honduras",3,0.907107955465988,11809.4393370521,1.10240461895882
"566","Honduras",4,0.931974686261068,11825.3210644546,1.07299051652555
"567","Honduras",5,0.95678817401283,11825.3210644546,1.04516341982566
"568","Honduras",6,0.973268678295199,11809.4619895439,1.02746551111829
"569","Honduras",7,0.98772909454004,11809.4619895439,1.01242335122838
"570","Honduras",8,0.997167656822087,11795.492301904,1.00284038813186
"571","Honduras",9,0.999889403790586,11825.3210644546,1.00011060844229
"572","Honduras",10,0.999970742077406,11806.1306438432,1.00002925877865
"573","Honduras",11,1,11786.1614158957,1
"574","Honduras",12,1,11805.8576543369,1
"575","Honduras",13,1,11788.3902155824,1
"576","Honduras",14,1,11825.3210644546,1
"577","Honduras",15,1,11801.080533156,1
"578","Honduras",16,1,11775.2837357405,1
"579","Honduras",17,1,11800.1331219494,1
"580","Honduras",18,1,11776.8493253099,1
"581","Honduras",19,1,11825.3210644546,1
"582","Honduras",20,1,11792.4232005494,1
"583","Honduras",21,1,11792.4232005494,1
"584","Honduras",22,1,11789.6381459055,1
