iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
IDN,2016-01-01,2,2016-03-01,19013,17004,22384,9872,28077,nowcast,expanding,64,0,27005
IDN,2016-01-01,3,2016-04-01,17336,15504,20410,9001,25601,nowcast,expanding,64,0,24239
IDN,2016-01-01,4,2016-05-01,16398,14665,19306,8514,24216,nowcast,expanding,64,0,19075
IDN,2016-01-01,5,2016-06-01,14483,12953,17051,7520,21388,nowcast,expanding,64,0,15183
IDN,2016-01-01,6,2016-07-01,12743,11397,15003,6616,18818,nowcast,expanding,64,0,12005
IND,2016-01-01,1,2016-02-01,4685,3013,8654,2208,11126,nowcast,expanding,70,0,4574
IND,2016-01-01,2,2016-03-01,4095,2633,7564,1930,9725,nowcast,expanding,70,0,3677
IND,2016-01-01,3,2016-04-01,945,865,1111,477,1841,nowcast,expanding,70,0,2870
IND,2016-01-01,4,2016-05-01,1363,1247,1603,688,2654,nowcast,expanding,70,0,3863
IND,2016-01-01,5,2016-06-01,1995,1825,2346,1007,3885,nowcast,expanding,70,0,5772
IND,2016-01-01,6,2016-07-01,3581,3277,4211,1807,6974,nowcast,expanding,70,0,11430
JAM,2016-01-01,1,2016-02-01,2,1,3,1,5,nowcast,expanding,69,0,207
JAM,2016-01-01,2,2016-03-01,1,1,2,0,3,nowcast,expanding,69,0,136
JAM,2016-01-01,3,2016-04-01,1,1,1,0,2,nowcast,expanding,69,0,100
JAM,2016-01-01,4,2016-05-01,63,21,70,5,341,nowcast,expanding,69,0,248
JAM,2016-01-01,5,2016-06-01,76,26,84,6,410,nowcast,expanding,69,0,139
JAM,2016-01-01,6,2016-07-01,97,33,106,8,521,nowcast,expanding,69,0,614
KEN,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,35,0,77
KEN,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,35,0,42
KEN,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,35,0,28
KEN,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,35,0,0
KEN,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,35,0,35
KEN,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,35,0,84
KHM,2016-01-01,1,2016-02-01,130,89,244,31,692,nowcast,expanding,72,0,394
KHM,2016-01-01,2,2016-03-01,204,139,383,49,1085,nowcast,expanding,72,0,493
KHM,2016-01-01,3,2016-04-01,288,197,541,69,1533,nowcast,expanding,72,0,638
KHM,2016-01-01,4,2016-05-01,787,538,1477,188,4182,nowcast,expanding,72,0,1163
KHM,2016-01-01,5,2016-06-01,1741,1190,3268,415,9256,nowcast,expanding,72,0,1879
KHM,2016-01-01,6,2016-07-01,2474,1690,4644,590,13153,nowcast,expanding,72,0,2236
KIR,2016-01-01,1,2016-02-01,35,14,61,0,127,nowcast,expanding,48,10,NA
KIR,2016-01-01,2,2016-03-01,31,14,57,0,136,nowcast,expanding,48,10,NA
KIR,2016-01-01,3,2016-04-01,0,0,1,0,12,nowcast,expanding,48,10,NA
KIR,2016-01-01,4,2016-05-01,0,0,5,0,40,nowcast,expanding,48,10,NA
KIR,2016-01-01,5,2016-06-01,0,0,4,0,34,nowcast,expanding,48,10,NA
KIR,2016-01-01,6,2016-07-01,0,0,2,0,20,nowcast,expanding,48,10,NA
KNA,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,24,10,NA
KNA,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,24,10,NA
KNA,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,24,10,4
KNA,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,24,10,8
KNA,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,24,10,16
KNA,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,24,10,4
LAO,2016-01-01,1,2016-02-01,257,143,426,29,768,nowcast,expanding,72,0,79
LAO,2016-01-01,2,2016-03-01,385,213,637,43,1147,nowcast,expanding,72,0,54
LAO,2016-01-01,3,2016-04-01,330,183,547,37,985,nowcast,expanding,72,0,50
LAO,2016-01-01,4,2016-05-01,618,343,1023,69,1842,nowcast,expanding,72,0,390
LAO,2016-01-01,5,2016-06-01,994,552,1646,111,2964,nowcast,expanding,72,0,638
