"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Trinidad and Tobago","TTO",2024,"20260805",39,2024-09-23,1437,NA,1437,97,NA,FALSE,TRUE,"no_lookup_match"
"Turks and Caicos Islands","TCA",2025,"20260805",40,2025-09-29,1,1,1,44,1,TRUE,FALSE,"applied_mean"
"Turks and Caicos Islands","TCA",2026,"20260805",12,2026-03-16,8,8,8,20,1,TRUE,FALSE,"applied_mean"
"Turks and Caicos Islands","TCA",2024,"20260805",40,2024-09-30,117,NA,117,96,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (UK)","VGB",2024,"20260805",40,2024-09-30,79,NA,79,96,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (UK)","VGB",2025,"20260805",40,2025-09-29,36,NA,36,44,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (UK)","VGB",2026,"20260805",20,2026-05-11,15,NA,15,12,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (US)","VIR",2024,"20260805",40,2024-09-30,137,NA,137,96,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (US)","VIR",2025,"20260805",40,2025-09-29,47,NA,47,44,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (US)","VIR",2026,"20260805",28,2026-07-06,0,NA,0,4,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2024,"20260805",41,2024-10-07,0,NA,0,95,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260805",41,2025-10-06,0,NA,0,43,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260805",28,2026-07-06,0,NA,0,4,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260805",41,2024-10-07,2213,NA,2213,95,NA,FALSE,TRUE,"no_lookup_match"
